form,lemma
	,PUNCT
Arafat,Arafat
's,'s
secular,secular
nationalism,nationalism
was,be
supple,supple
enough,enough
to,to
compromise,compromise
with,with
Israel,Israel
and,and
to,to
imagine,imagine
a,a
two,two
-,-
state,state
solution,solution
",",","
even,even
if,if
the,the
road,road
of,of
negotiations,negotiation
remained,remain
rocky,rocky
.,.
The,the
continued,continue
Israeli,israeli
colonization,colonization
of,of
the,the
occupied,occupy
Palestinian,Palestinian
territories,territories
during,during
the,the
1990s,1990
helped,help
",",","
along,along
with,with
terrorist,terrorist
attacks,attack
by,by
radical,radical
groups,group
such,such
as,as
Hamas,Hamas
",",","
to,to
derail,derail
the,the
peace,peace
process,process
",",","
which,which
Sharon,Sharon
had,have
always,always
opposed,oppose
.,.
Arafat,Arafat
's,'s
death,death
creates,create
a,a
vacuum,vacuum
in,in
Palestinian,palestinian
leadership,leadership
that,that
will,will
not,not
soon,soon
be,be
filled,fill
.,.
Sharon,Sharon
's,'s
assassination,assassination
of,of
major,major
Hamas,Hamas
leaders,leader
has,have
also,also
weakened,weaken
authority,authority
structures,structure
in,in
that,that
party,party
.,.
If,if
the,the
Israelis,Israelis
and,and
the,the
Palestinian,palestinian
leadership,leadership
can,can
not,not
find,find
a,a
way,way
to,to
reinvigorate,reinvigorate
the,the
peace,peace
process,process
",",","
cells,cell
of,of
radical,radical
young,young
Palestinians,Palestinians
may,may
grow,grow
up,up
that,that
look,look
to,to
bin,bin
Laden,Laden
for,for
their,they
cues,cue
.,.
Even,even
if,if
local,local
Palestinian,palestinian
leaders,leader
remain,remain
strong,strong
enough,enough
to,to
keep,keep
al,al
-,-
Qaida,Qaida
out,out
",",","
the,the
festering,fester
Israeli,israeli
-,-
Palestinian,palestinian
struggle,struggle
remains,remain
among,among
the,the
best,best
recruiting,recruiting
posters,poster
for,for
al,al
-,-
Qaida,Qaida
with,with
young,young
Muslim,muslim
men,man
.,.
Resolving,resolve
this,this
conflict,conflict
would,would
be,be
the,the
most,most
effective,effective
weapon,weapon
the,the
United,United
States,States
could,could
deploy,deploy
in,in
its,its
war,war
on,on
terror,terror
.,.
	,PUNCT
Xinhua,Xinhua
reports,report
that,that
a,a
wide,wide
range,range
of,of
Iraqi,iraqi
political,political
forces,force
on,on
Tuesday,Tuesday
condemned,condemn
Sharon,Sharon
's,'s
murder,murder
of,of
Sheikh,Sheikh
Ahmed,Ahmed
Yassin,Yassin
",",","
a,a
religious,religious
leader,leader
of,of
Hamas,Hamas
",",","
the,the
day,day
before,before
.,.
The,the
Board,board
of,of
Muslim,muslim
clerics,cleric
in,in
Fallujah,Fallujah
",",","
50,50
km,km
west,west
of,of
Baghdad,Baghdad
",",","
	,PUNCT
condemned,condemn
the,the
assassination,assassination
and,and
promised,promise
immediate,immediate
revenge,revenge
against,against
the,the
coalition,coalition
soldiers,soldier
in,in
Iraq,Iraq
.,.
	,PUNCT
Ash,Ash
-,-
Sharq,Sharq
al,al
-,-
Awsat,Awsat
reports,report
that,that
Fallujah,Fallujah
was,be
closed,close
Tuesday,Tuesday
in,in
a,a
general,general
strike,strike
.,.
US,US
troops,troops
there,there
clashed,clash
with,with
guerrillas,guerrilla
in,in
a,a
fight,fight
that,that
left,leave
one,one
Iraqi,Iraqi
dead,dead
.,.
In,in
Ramadi,Ramadi
",",","
there,there
was,be
a,a
big,big
demonstration,demonstration
.,.
Radical,radical
Shiite,shiite
cleric,cleric
Muqtada,Muqtada
al,al
-,-
Sadr,Sadr
said,say
the,the
attack,attack
was,be
	,PUNCT
criminal,criminal
	,PUNCT
and,and
that,that
	,PUNCT
the,the
Zionists,Zionists
have,have
left,leave
only,only
one,one
choice,choice
for,for
the,the
Arabs,Arabs
",",","
that,that
of,of
fighting,fighting
and,and
jihad,jihad
	,PUNCT
.,.
The,the
interim,interim
Governing,Governing
Council,Council
issued,issue
a,a
communique,communique
saying,say
",",","
	,PUNCT
It,it
is,be
a,a
proof,proof
of,of
the,the
emptiness,emptiness
of,of
the,the
Israeli,israeli
authority,authority
and,and
a,a
destruction,destruction
of,of
the,the
peace,peace
endeavors,endeavor
in,in
the,the
region,region
.,.
.,.
.,.
This,this
operation,operation
would,would
only,only
consolidate,consolidate
the,the
terrorist,terrorist
acts,act
in,in
the,the
world,world
and,and
would,would
not,not
bring,bring
peace,peace
to,to
the,the
region,region
",",","
	,PUNCT
the,the
message,message
claimed,claim
.,.
Xinhua,Xinhua
alleged,allege
that,that
	,PUNCT
Many,many
of,of
the,the
Iraqis,Iraqis
",",","
who,who
suffer,suffer
the,the
American,american
occupation,occupation
of,of
Iraq,Iraq
",",","
relate,relate
their,they
case,case
with,with
that,that
of,of
the,the
Palestinian,palestinian
people,people
",",","
under,under
the,the
Israeli,israeli
occupation,occupation
.,.
	,PUNCT
In,in
an,a
apparently,apparently
unrelated,unrelated
incidents,incident
",",","
some,some
eleven,eleven
Iraqis,Iraqis
were,be
killed,kill
by,by
snipers,sniper
on,on
Tuesday,Tuesday
",",","
including,include
a,a
group,group
of,of
police,police
trainees,trainee
in,in
a,a
bus,bus
near,near
Hilla,Hilla
and,and
two,two
police,police
in,in
Kirkuk,Kirkuk
.,.
Ever,ever
since,since
the,the
first,first
whispers,whisper
about,about
Google,Google
's,'s
IPO,ipo
",",","
most,most
investors,investor
have,have
feared,fear
that,that
the,the
stock,stock
would,would
come,come
public,public
at,at
such,such
a,a
ridiculously,ridiculously
high,high
price,price
that,that
",",","
even,even
with,with
a,a
spectacularly,spectacularly
profitable,profitable
business,business
model,model
and,and
some,some
nearly,nearly
flawless,flawless
execution,execution
",",","
the,the
price,price
would,would
be,be
too,too
high,high
for,for
investors,investor
to,to
make,make
a,a
real,real
profit,profit
.,.
We,we
've,have
moved,move
on,on
.,.
We,we
've,have
grown,grow
up,up
.,.
Now,now
",",","
people,people
wonder,wonder
if,if
Google,Google
can,can
even,even
survive,survive
.,.
That,that
's,be
overstating,overstate
it,it
",",","
I,I
know,know
.,.
What,what
they,they
wonder,wonder
is,be
whether,whether
Google,Google
can,can
be,be
anything,anything
more,more
than,than
what,what
it,it
's,be
always,always
been,be
--,--
a,a
great,great
search,search
engine,engine
with,with
some,some
real,real
grass,grass
-,-
roots,root
support,support
",",","
successful,successful
by,by
the,the
grace,grace
of,of
simplicity,simplicity
.,.
Simplicity,simplicity
gave,give
it,it
that,that
blessed,blessed
",",","
laudatory,laudatory
lack,lack
of,of
clutter,clutter
",",","
the,the
efficient,efficient
and,and
effective,effective
text,text
-,-
based,base
ads,ad
",",","
and,and
the,the
support,support
of,of
anyone,anyone
with,with
a,a
dial,dial
-,-
up,up
connection,connection
.,.
The,the
problem,problem
is,be
that,that
customers,customer
attracted,attract
by,by
a,a
simple,simple
interface,interface
are,be
among,among
the,the
least,least
loyal,loyal
you,you
can,can
find,find
--,--
witness,witness
the,the
fight,fight
-,-
for,for
-,-
fewest,fewest
-,-
features,feature
between,between
low,low
-,-
end,end
camera,camera
companies,company
.,.
The,the
other,other
problem,problem
?,?
It,it
's,be
tough,tough
to,to
make,make
money,money
branching,branch
out,out
when,when
your,you
appeal,appeal
is,be
in,in
your,you
focus,focus
.,.
As,as
the,the
survey,survey
cited,cite
in,in
the,the
above,above
-,-
linked,link
article,article
shows,show
",",","
most,most
Google,Google
users,user
do,do
n't,not
intend,intend
to,to
use,use
Gmail,Gmail
",",","
and,and
Google,Google
is,be
n't,not
even,even
as,as
popular,popular
as,as
Yahoo!,Yahoo!
and,and
AOL,AOL
.,.
If,if
they,they
continue,continue
to,to
add,add
features,feature
so,so
they,they
can,can
justify,justify
their,they
likely,likely
sky,sky
-,-
high,high
valuation,valuation
",",","
Google,Google
risks,risk
losing,lose
a,a
huge,huge
chunk,chunk
of,of
their,they
customer,customer
base,base
to,to
the,the
next,next
keep,keep
-,-
it,it
-,-
simple,simple
search,search
engine,engine
.,.
Remember,remember
when,when
a,a
whole,whole
lot,lot
of,of
people,people
had,have
to,to
die,die
because,because
a,a
Swedish,swedish
newspaper,newspaper
printed,print
those,those
cartoons,cartoon
of,of
the,the
Prophet,Prophet
Mohammed,Mohammed
?,?
Now,now
Iran,Iran
wants,want
to,to
turn,turn
the,the
tables,table
and,and
is,be
inviting,invite
cartoonists,cartoonist
to,to
do,do
their,they
best,best
by,by
depicting,depict
the,the
Holocaust,Holocaust
.,.
Amazingly,amazingly
",",","
these,these
idiots,idiot
think,think
a,a
cartoon,cartoon
of,of
Mohammed,Mohammed
is,be
comparable,comparable
to,to
what,what
we,we
can,can
expect,expect
in,in
this,this
new,new
fun,fun
contest,contest
:,:
TEHRAN,TEHRAN
(,(
AFP,AFP
),)
-,-
An,a
international,international
contest,contest
of,of
cartoons,cartoon
on,on
the,the
Holocaust,Holocaust
opened,open
in,in
Tehran,Tehran
in,in
response,response
to,to
the,the
publication,publication
in,in
Western,western
papers,papers
last,last
September,September
of,of
caricatures,caricature
of,of
the,the
Prophet,Prophet
Mohammed,Mohammed
.,.
	,PUNCT
We,we
staged,stage
this,this
fair,fair
to,to
explore,explore
the,the
limits,limit
of,of
freedom,freedom
Westerners,Westerners
believe,believe
in,in
",",","
	,PUNCT
Masoud,Masoud
Shojai,Shojai
",",","
head,head
of,of
the,the
country,country
's,'s
	,PUNCT
Iran,Iran
Cartoon,Cartoon
	,PUNCT
association,association
and,and
the,the
fair,fair
organizer,organizer
",",","
said,say
.,.
	,PUNCT
They,they
can,can
freely,freely
write,write
anything,anything
they,they
like,like
about,about
our,we
prophet,prophet
",",","
but,but
if,if
one,one
raises,raise
doubts,doubt
about,about
the,the
Holocaust,Holocaust
he,he
is,be
either,either
fined,fine
or,or
sent,send
to,to
prison,prison
",",","
	,PUNCT
he,he
added,add
.,.
	,PUNCT
Though,though
we,we
do,do
not,not
deny,deny
that,that
fact,fact
that,that
Jews,Jews
were,be
killed,kill
in,in
the,the
(,(
second,second
world,world
),)
war,war
",",","
why,why
should,should
the,the
Palestinians,Palestinians
pay,pay
for,for
it,it
?,?
	,PUNCT
Shojai,Shojai
told,tell
the,the
opening,open
ceremony,ceremony
of,of
the,the
month,month
-,-
long,long
fair,fair
in,in
Tehran,Tehran
's,'s
Palestine,Palestine
Contemporary,Contemporary
Art,Art
Museum,Museum
.,.
He,he
added,add
that,that
around,around
"1,100","1,100"
cartoons,cartoon
were,be
submitted,submit
by,by
participants,participant
from,from
more,more
than,than
60,60
countries,country
and,and
that,that
more,more
than,than
200,200
are,be
on,on
show,show
.,.
He,he
said,say
the,the
top,top
three,three
cartoons,cartoon
will,will
be,be
announced,announce
on,on
September,September
2,2
",",","
with,with
the,the
winners,winner
being,be
awarded,award
prizes,prize
of,of
"12,000","12,000"
",",","
"8,000","8,000"
and,and
"5,000","5,000"
dollars,dollar
respectively,respectively
.,.
This,this
cute,cute
little,little
stunt,stunt
is,be
only,only
going,go
to,to
prove,prove
just,just
how,how
fanatic,fanatic
the,the
extremist,extremist
Muslims,Muslims
are,be
.,.
When,when
they,they
saw,see
a,a
cartoon,cartoon
of,of
their,they
prophet,prophet
",",","
people,people
had,have
to,to
die,die
.,.
When,when
their,they
precious,precious
cartoons,cartoon
are,be
released,release
I,I
highly,highly
doubt,doubt
it,it
will,will
look,look
like,like
the,the
end,end
of,of
the,the
world,world
.,.
US,US
Marines,Marines
moved,move
into,into
most,most
of,of
Fallujah,Fallujah
on,on
Wednesday,Wednesday
",",","
though,though
they,they
were,be
still,still
meeting,meet
pockets,pocket
of,of
resistance,resistance
.,.
The,the
Fallujah,Fallujah
fighting,fighting
has,have
killed,kill
fair,fair
numbers,number
of,of
Iraqi,iraqi
noncombatants,noncombatant
",",","
including,include
Shaikh,Shaikh
Abdul,Abdul
Wahhab,Wahhab
al,al
-,-
Janabi,Janabi
of,of
the,the
respected,respect
Association,Association
of,of
Muslim,Muslim
Scholars,Scholars
.,.
Armed,armed
clashes,clash
broke,break
out,out
in,in
several,several
northern,northern
Iraqi,iraqi
cities,city
on,on
Wednesday,Wednesday
",",","
leaving,leave
some,some
22,22
persons,person
dead,dead
in,in
Mosul,Mosul
",",","
Baiji,Baiji
",",","
and,and
Tuz,Tuz
.,.
Hundreds,hundred
of,of
persons,person
mounted,mount
demonstrations,demonstration
against,against
the,the
Fallujah,Fallujah
campaign,campaign
in,in
Tikrit,Tikrit
and,and
Huwaijah,Huwaijah
",",","
as,as
well,well
",",","
according,accord
to,to
az,az
-,-
Zaman,Zaman
.,.
The,the
battles,battle
and,and
demonstrations,demonstration
were,be
provoked,provoke
by,by
the,the
US,US
assault,assault
on,on
Fallujah,Fallujah
.,.
Guerrillas,guerrilla
threatened,threaten
to,to
assassinate,assassinate
Prime,Prime
Minister,Minister
Iyad,Iyad
Allawi,Allawi
and,and
Minister,Minister
of,of
Defense,Defense
Hazem,Hazem
Shaalan,Shaalan
in,in
retaliation,retaliation
for,for
the,the
attack,attack
.,.
Allawi,Allawi
's,'s
aged,aged
cousin,cousin
and,and
the,the
man,man
's,'s
wife,wife
and,and
daughter,daughter
-,-
in,in
-,-
law,law
were,be
abducted,abduct
and,and
guerrillas,guerrilla
threaten,threaten
to,to
behead,behead
them,they
if,if
the,the
Fallujah,Fallujah
compaign,compaign
is,be
not,not
stopped,stop
.,.
In,in
Iraqi,iraqi
society,society
",",","
PM,PM
Allawi,Allawi
is,be
responsible,responsible
for,for
protecting,protect
his,he
clan,clan
",",","
including,include
especially,especially
his,he
first,first
cousins,cousin
",",","
so,so
this,this
kidnapping,kidnapping
makes,make
him,he
look,look
weak,weak
and,and
brings,bring
substantial,substantial
shame,shame
on,on
him,he
.,.
The,the
US,US
Marines,Marines
took,take
most,most
of,of
Fallujah,Fallujah
Wednesday,Wednesday
",",","
but,but
still,still
face,face
pockets,pocket
of,of
resistance,resistance
.,.
If,if
Samarra,Samarra
and,and
other,other
cities,city
are,be
any,any
guide,guide
",",","
those,those
pockets,pocket
of,of
resistance,resistance
could,could
go,go
on,on
bedeviling,bedevil
the,the
US,US
for,for
some,some
time,time
to,to
come,come
.,.
The,the
intrepid,intrepid
Ed,Ed
Wong,Wong
of,of
the,the
NYT,NYT
has,have
more,more
on,on
the,the
Sunni,sunni
boycott,boycott
of,of
the,the
elections,election
.,.
He,he
reports,report
that,that
the,the
Iraqi,Iraqi
Islamic,Islamic
Party,Party
",",","
which,which
had,have
earlier,earlier
been,be
absolutely,absolutely
committed,commit
to,to
getting,get
out,out
the,the
Sunni,sunni
vote,vote
",",","
is,be
now,now
wavering,waver
and,and
saying,say
their,they
position,position
will,will
depend,depend
on,on
the,the
situation,situation
.,.
The,the
outbreak,outbreak
of,of
demonstrations,demonstration
and,and
violence,violence
throughout,throughout
the,the
Sunni,sunni
Arab,arab
regions,region
on,on
Wednesday,Wednesday
did,do
not,not
bode,bode
well,well
for,for
Sunni,sunni
participation,participation
in,in
the,the
January,January
elections,election
.,.
Jim,Jim
Lobe,Lobe
has,have
more,more
on,on
the,the
political,political
implications,implication
of,of
the,the
Fallujah,Fallujah
assault,assault
",",","
both,both
in,in
Iraq,Iraq
and,and
in,in
Washington,Washington
.,.
For,for
some,some
black,black
satire,satire
on,on
Fallujah,Fallujah
",",","
see,see
Unconfirmed,Unconfirmed
Sources,Sources
which,which
has,have
some,some
fun,fun
with,with
my,my
Weblog,Weblog
.,.
[,[
Am,be
at,at
a,a
conference,conference
and,and
ca,can
n't,not
blog,blog
much,much
right,right
now,now
but,but
will,will
try,try
to,to
catch,catch
up,up
the,the
next,next
couple,couple
of,of
days,day
.,.
],]
The,the
hottest,hottest
item,item
on,on
Christmas,Christmas
wish,wish
lists,list
this,this
year,year
is,be
nuclear,nuclear
weapons,weapon
.,.
Al,Al
-,-
Qaeda,Qaeda
wants,want
them,they
",",","
Iran,Iran
wants,want
them,they
",",","
Russia,Russia
wants,want
the,the
better,better
ones,one
",",","
and,and
all,all
the,the
US,US
wants,want
is,be
to,to
give,give
them,they
all,all
a,a
piece,piece
of,of
coal,coal
.,.
For,for
the,the
last,last
few,few
years,year
there,there
have,have
been,be
tensions,tension
with,with
Iran,Iran
’s,'s
nuclear,nuclear
program,program
with,with
word,word
coming,come
this,this
week,week
that,that
a,a
deal,deal
was,be
reached,reach
through,through
the,the
European,European
Union,Union
that,that
meets,meet
with,with
the,the
approval,approval
of,of
the,the
International,International
Atomic,Atomic
Energy,Energy
Agency,Agency
.,.
At,at
the,the
same,same
time,time
",",","
an,a
Iranian,iranian
Opposition,opposition
Group,group
released,release
what,what
they,they
call,call
proof,proof
of,of
a,a
covert,covert
nuclear,nuclear
weapons,weapon
program,program
.,.
Arial,arial
photos,photo
",",","
loose,loose
connections,connection
to,to
AQ,AQ
Kahn,Kahn
and,and
Libya,Libya
make,make
up,up
the,the
evidence,evidence
that,that
the,the
group,group
presented,present
.,.
Russia,Russia
also,also
announced,announce
that,that
it,it
was,be
seeking,seek
and,and
building,build
the,the
best,best
nukes,nuke
the,the
world,world
’s,have
ever,ever
seen,see
.,.
President,President
Vladimir,Vladimir
Putin,Putin
said,say
Russia,Russia
is,be
will,will
have,have
new,new
nuclear,nuclear
weapons,weapon
that,that
other,other
countries,country
do,do
not,not
and,and
will,will
not,not
have,have
.,.
With,with
the,the
demand,demand
so,so
high,high
",",","
the,the
question,question
arises,arise
on,on
to,to
who,who
should,should
be,be
or,or
has,have
the,the
right,right
to,to
be,be
the,the
Santa,Santa
of,of
nuclear,nuclear
weapons,weapon
.,.
Right,right
now,now
that,that
seems,seem
to,to
be,be
the,the
US,US
",",","
EU,EU
",",","
and,and
IAEA,IAEA
.,.
But,but
not,not
always,always
do,do
those,those
three,three
agree,agree
",",","
and,and
not,not
always,always
are,be
their,they
decisions,decision
equal,equal
.,.
The,the
US,US
has,have
strongly,strongly
opposed,oppose
a,a
nuclear,nuclear
weapons,weapon
program,program
of,of
Iran,Iran
",",","
yet,yet
Israel,Israel
",",","
which,which
to,to
this,this
day,day
has,have
never,never
officially,officially
said,say
that,that
they,they
posses,poss
nuclear,nuclear
weapons,weapon
",",","
ranks,rank
around,around
fifth,fifth
in,in
nuclear,nuclear
strength,strength
.,.
It,it
is,be
estimated,estimate
that,that
Israel,Israel
has,have
over,over
200,200
nuclear,nuclear
weapons,weapon
yet,yet
neither,neither
the,the
US,US
nor,nor
any,any
of,of
her,she
allies,ally
expresses,express
the,the
slightest,slightest
concern,concern
.,.
North,North
Korea,Korea
’s,'s
Kim,Kim
Jong,Jong
Ill,Ill
also,also
has,have
the,the
bomb,bomb
at,at
the,the
top,top
of,of
his,he
list,list
and,and
Santa,Santa
seems,seem
to,to
have,have
already,already
come,come
a,a
few,few
years,year
ago,ago
.,.
It,it
is,be
rumored,rumor
that,that
North,North
Korea,Korea
has,have
at,at
least,least
a,a
couple,couple
nuclear,nuclear
weapons,weapon
.,.
But,but
getting,get
past,past
who,who
should,should
get,get
them,they
",",","
is,be
who,who
has,have
them,they
",",","
and,and
who,who
is,be
really,really
close,close
.,.
The,the
case,case
against,against
Iran,Iran
has,have
a,a
feeling,feeling
of,of
Déjà,déjà
vu,vu
.,.
Arial,arial
photos,photo
of,of
the,the
lab,lab
were,be
uranium,uranium
is,be
being,be
enriched,enrich
",",","
somewhat,somewhat
like,like
those,those
of,of
chemical,chemical
weapons,weapon
stockpiles,stockpile
in,in
Iraq,Iraq
.,.
America,America
cried,cry
wolf,wolf
in,in
Iraq,Iraq
",",","
and,and
what,what
’s,be
scary,scary
is,be
that,that
sooner,sooner
or,or
later,later
",",","
that,that
wolf,wolf
will,will
probably,probably
get,get
us,we
.,.
I,I
ran,run
across,across
this,this
item,item
on,on
the,the
Internet,internet
.,.
Sooooo,sooooo
.,.
The,the
United,United
States,States
goes,go
into,into
a,a
war,war
zone,zone
and,and
evacuates,evacuate
a,a
bunch,bunch
of,of
U.S.,U.S.
citizens,citizen
(,(
most,most
of,of
whom,whom
were,be
	,PUNCT
dual,dual
-,-
citizens,citizen
	,PUNCT
),)
.,.
Then,then
",",","
eschewing,eschew
normal,normal
procedure,procedure
",",","
the,the
Department,Department
of,of
State,State
waived,waive
the,the
fees,fee
that,that
they,they
charge,charge
for,for
evacuating,evacuate
U.S.,U.S.
citizen,citizen
.,.
Why,why
?,?
To,to
pander,pander
to,to
the,the
mythical,mythical
	,PUNCT
Arab,arab
street,street
	,PUNCT
",",","
of,of
course,course
.,.
Now,now
",",","
I,I
would,would
argue,argue
that,that
one,one
could,could
have,have
reasonably,reasonably
predicted,predict
that,that
some,some
form,form
of,of
military,military
violence,violence
was,be
likely,likely
to,to
occur,occur
in,in
Lebanon,Lebanon
(,(
considering,consider
that,that
the,the
country,country
has,have
been,be
experiencing,experience
some,some
form,form
of,of
conflict,conflict
for,for
approximately,approximately
the,the
last,last
32,32
years,year
),)
.,.
In,in
other,other
words,word
",",","
those,those
Americans,Americans
were,be
there,there
by,by
their,they
own,own
choice,choice
",",","
mired,mire
in,in
a,a
situation,situation
that,that
was,be
totally,totally
predictable,predictable
.,.
Yet,yet
we,we
did,do
n't,not
charge,charge
them,they
for,for
the,the
evacuation,evacuation
.,.
This,this
is,be
unlike,unlike
the,the
situation,situation
last,last
year,year
in,in
Asia,Asia
when,when
we,we
evacuated,evacuate
U.S.,U.S.
citizens,citizen
from,from
areas,area
that,that
were,be
hit,hit
by,by
the,the
tsunami,tsunami
-,-
a,a
phenomenon,phenomenon
that,that
is,be
much,much
less,less
predictable,predictable
than,than
the,the
Hezbollah,Hezbollah
-,-
provoked,provoke
destruction,destruction
that,that
rained,rain
down,down
on,on
Lebanon,Lebanon
.,.
And,and
what,what
do,do
we,we
get,get
for,for
this,this
effort,effort
?,?
A,a
lawsuit,lawsuit
.,.
That,that
's,be
right,right
",",","
folks,folks
.,.
The,the
American,American
-,-
Arab,Arab
Discrimination,Discrimination
Committee,Committee
is,be
suing,sue
Condoleeza,Condoleeza
Rice,Rice
and,and
Donald,Donald
Rumsfeld,Rumsfeld
",",","
charging,charge
that,that
they,they
mismanaged,mismanage
the,the
evacuation,evacuation
efforts,effort
.,.
Here,here
's,be
an,a
excerpt,excerpt
from,from
the,the
article,article
:,:
Nina,Nina
Chahine,Chahine
",",","
19,19
",",","
who,who
with,with
her,she
family,family
was,be
among,among
the,the
named,name
plaintiffs,plaintiff
in,in
the,the
lawsuit,lawsuit
",",","
said,say
her,she
wedding,wedding
in,in
the,the
southern,southern
city,city
of,of
Tyre,Tyre
was,be
set,set
for,for
July,July
13,13
.,.
The,the
wedding,wedding
had,have
to,to
be,be
postponed,postpone
as,as
family,family
